ADMIN1_ID,ADMIN1_NAME
AFG.1_1,Badakhshan
AFG.2_1,Badghis
AFG.3_1,Baghlan
AFG.4_1,Balkh
AFG.5_1,Bamyan
AFG.6_1,Daykundi
AFG.7_1,Farah
AFG.8_1,Faryab
AFG.9_1,Ghazni
AFG.10_1,Ghor
AFG.11_1,Hilmand
AFG.12_1,Hirat
AFG.13_1,Jawzjan
AFG.14_1,Kabul
AFG.15_1,Kandahar
AFG.16_1,Kapisa
AFG.17_1,Khost
AFG.18_1,Kunar
AFG.19_1,Kunduz
AFG.20_1,Laghman
AFG.21_1,Logar
AFG.22_1,Nangarhar
AFG.23_1,Nimroz
AFG.24_1,Nuristan
AFG.25_1,Paktika
AFG.26_1,Paktya
AFG.27_1,Panjshir
AFG.28_1,Parwan
AFG.29_1,Samangan
AFG.30_1,Sari Pul
AFG.31_1,Takhar
AFG.32_1,Uruzgan
AFG.33_1,Wardak
AFG.34_1,Zabul
AGO.1_1,Bengo
AGO.2_1,Benguela
AGO.3_1,Bié
AGO.4_1,Cabinda
AGO.5_1,Cuando Cubango
AGO.6_1,Cuanza Norte
AGO.7_1,Cuanza Sul
AGO.8_1,Cunene
AGO.9_1,Huambo
AGO.10_1,Huíla
AGO.11_1,Luanda
AGO.12_1,Lunda Norte
AGO.13_1,Lunda Sul
AGO.14_1,Malanje
AGO.15_1,Moxico
AGO.16_1,Namibe
AGO.17_1,Uíge
AGO.18_1,Zaire
AIA.1_1,Blowing Point
AIA.15_1,Dog Island
AIA.2_1,East End
AIA.3_1,George Hill
AIA.4_1,Island Harbour
AIA.5_1,North Hill
AIA.6_1,North Side
AIA.16_1,Pricly Pear Cays
AIA.7_1,Sandy Ground
AIA.8_1,Sandy Hill
AIA.17_1,Scrub Island
AIA.18_1,Sombrero Island
AIA.9_1,South Hill
AIA.10_1,Stoney Ground
AIA.11_1,The Farrington
AIA.12_1,The Quarter
AIA.13_1,The Valley
AIA.14_1,West End
ALA.1_2,Archipelago
ALA.2_2,Countryside
ALA.3_2,Mariehamn
ALB.1_1,Berat
